"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"sintra-patio-dining-table","SINTRA Patio Dining Table","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with SINTRA, styled in Contemporary and designed for everyday comfort.<br>
This outdoor patio dining table is made to fit naturally into the room. With Steel, Ceramic Tile, Steel, Ceramic and Black/Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Varies by variant</p>

<p>Features<br>
- Steel<br>
- Ceramic Tile<br>
- Ceramic tile table top<br>
- 360-degree swivel rocker chairs<br>
- Rust-resistant<br>
- powder-coated steel frame<br>
- Table includes umbrella hole and cap<br>
- Chair includes cushion and pillow<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Black/Gray | Dimensions: 76""L X 40""W X 28""H | Weight: 105.8 lbs | Shipping (LxWxH): 78 x 43.5 x 4.5 in | Volume: 8.8 cuft</strong><br>
- <strong>Size: - | Color: Black/Gray | Dimensions: 40""L X 40""W X 28""H | Weight: 63.9 lbs | Shipping (LxWxH): 43.5 x 42 x 4.5 in | Volume: 4.8 cuft</strong><br>
</p>

<p>Materials: Steel, Ceramic Tile, Steel, Ceramic.<br>
Color: Black/Gray<br>
Weight: 63.9 - 105.8 lbs</p>","GOODDEGG","","Patio Dining Table","2026, Furniture of America, New Arrival, Outdoor, Outdoor Furniture, Patio Dining Table, Quick Ship Furniture, SINTRA","true","Color","Black/Gray - 76 Length","","","","","","","","GM-2008","47989.982027526","shopify","20","deny","manual","597.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2008-WB-1.jpg?v=1773942810","1","sintra-patio-dining-table","false","SINTRA Patio Dining Table","Shop SINTRA Patio Dining Table. Contemporary style. Steel, Ceramic Tile build. Color: Black/Gray. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2008-WB-1.jpg?v=1773942810","lb","","219.00","active"
"sintra-patio-dining-table","","","","","","","","","Black/Gray - 40 Length","","","","","","","","GM-2012","28985.00603537","shopify","20","deny","manual","297.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2008-6PC-1_b1f974ba-b6ac-4eab-8ff2-f1b94d0fd0fc.jpg?v=1773942810","2","sintra-patio-dining-table","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2012-WB-1.jpg?v=1773942810","lb","","119.00",""
"sintra-patio-dining-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2012-WB-1.jpg?v=1773942810","3","sintra-patio-dining-table","","","","","","","",""
"sintra-patio-dining-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2012-1.jpg?v=1773942810","4","sintra-patio-dining-table","","","","","","","",""
"sintra-patio-dining-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2012-2.jpg?v=1773942810","5","sintra-patio-dining-table","","","","","","","",""
"sintra-patio-dining-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2012-3.jpg?v=1773942810","6","sintra-patio-dining-table","","","","","","","",""
"sintra-patio-dining-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2012-4.jpg?v=1773942810","7","sintra-patio-dining-table","","","","","","","",""
"mackay-patio-dining-table","MACKAY Patio Dining Table","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with MACKAY, styled in Contemporary and designed for everyday comfort.<br>
This outdoor patio dining table is made to fit naturally into the room. With Aluminum, FSC Certified 100% Teak Wood and Gun Metal/Natural Teak tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Varies by variant</p>

<p>Features<br>
- Aluminum<br>
- FSC Certified 100% Teak Wood<br>
- Mixed material of teak wood and metal frame<br>
- Extends from 61"" to 84"" w/ butterfly leaf<br>
- Seats up to 8 people<br>
- Level control table legs<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Gun Metal/Natural Teak | Dimensions: 61 1/2 - 84""L X 35 1/2""W X 30""H | Weight: 52.9 lbs | Shipping (LxWxH): 63 x 7.1 x 36.6 in | Volume: 9.5 cuft</strong><br>
- <strong>Size: - | Color: Gun Metal/Natural Teak | Dimensions: 59""L X 35 1/2""W X 29""H | Weight: 33.1 lbs | Shipping (LxWxH): 59.6 x 36.4 x 3.5 in | Volume: 4.4 cuft</strong><br>
</p>

<p>Materials: Aluminum, FSC Certified 100% Teak Wood.<br>
Color: Gun Metal/Natural Teak<br>
Weight: 33.1 - 52.9 lbs</p>","GOODDEGG","","Patio Dining Table","2026, Furniture of America, MACKAY, New Arrival, Outdoor, Outdoor Furniture, Patio Dining Table, Quick Ship Furniture","true","Color","1. Gun Metal/Natural Teak","","","","","","","","GM-2001","23994.991013763","shopify","20","deny","manual","987.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2001-1.jpg?v=1773942809","1","mackay-patio-dining-table","false","MACKAY Patio Dining Table","Shop MACKAY Patio Dining Table. Color: Gun Metal/Natural Teak. Free shipping from GOODDEGG. Buy now.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2001-1.jpg?v=1773942809","lb","","369.00","active"
"mackay-patio-dining-table","","","","","","","","","2. Gun Metal/Natural Teak","","","","","","","","GM-2004","15013.998165474","shopify","20","deny","manual","447.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2001-2.jpg?v=1773942808","2","mackay-patio-dining-table","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2004-1.jpg?v=1773942809","lb","","179.00",""
"mackay-patio-dining-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2001-3.jpg?v=1773942809","3","mackay-patio-dining-table","","","","","","","",""
"mackay-patio-dining-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2001-4.jpg?v=1773942808","4","mackay-patio-dining-table","","","","","","","",""
"mackay-patio-dining-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2001-5.jpg?v=1773942809","5","mackay-patio-dining-table","","","","","","","",""
"mackay-patio-dining-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2001-6.jpg?v=1773942809","6","mackay-patio-dining-table","","","","","","","",""
"mackay-patio-dining-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2001-7.jpg?v=1773942808","7","mackay-patio-dining-table","","","","","","","",""
"mackay-patio-dining-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2001-8.jpg?v=1773942808","8","mackay-patio-dining-table","","","","","","","",""
"mackay-patio-dining-table","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/GM-2001-9.jpg?v=1773942808","9","mackay-patio-dining-table","","","","","","","",""
