Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
omnus-trundle,OMNUS Trundle,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with OMNUS, styled in Transitional and designed for everyday comfort.<br>
This youth trundle is made to fit naturally into the room. With Solid Wood, Others, Solid Wood, Wood Veneer, Engineered Wood and Espresso or White tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Varies by variant</p>

<p>Features<br>
- Solid Wood<br>
- Others<br>
- Converts to Drawers<br>
- 2 Dividers Included<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Espresso | Dimensions: 40.5""W X 74""D X 10.5""H | Weight: 41.8 lbs | Shipping (LxWxH): 75.5 x 9.8 x 5 in | Volume: 2.1 cuft</strong><br>
- <strong>Size: - | Color: White | Dimensions: 75""W X 40.5""D X 11""H | Weight: 44 lbs | Shipping (LxWxH): 9.8 x 76.5 x 5 in | Volume: 2.2 cuft</strong><br>
</p>

<p>Materials: Solid Wood, Others, Solid Wood, Wood Veneer, Engineered Wood.<br>
Color: Espresso or White<br>
Weight: 41.8 - 44 lbs</p>",ADNFurniture,,,,TRUE,Color,Espresso,,,,,,,,FM-TR452-ES,18959.979629052,shopify,20,deny,manual,207,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM-TR452-WH-1-Z.jpg?v=1773933466,1,omnus-trundle,FALSE,OMNUS Trundle,"Shop OMNUS Trundle. Transitional style. Solid Wood, Others build. Multiple colors available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM-TR452-ES-1-Z.jpg?v=1773933466,lb,,90,active
omnus-trundle,,,,,,,,,White,,,,,,,,FM-TR452-WH,19958.018920763,shopify,20,deny,manual,207,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7903CH-Z_69157284-e984-46fc-bf83-d16d4e182f40.jpg?v=1773933466,2,omnus-trundle,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM-TR452-WH-1-Z.jpg?v=1773933466,lb,,90,
omnus-trundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FOA7927TR-1_40a559f2-93c2-4890-90d4-e5c91a296c8d.jpg?v=1773933466,3,omnus-trundle,,,,,,,,
omnus-trundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM-TR452-ES-1-Z.jpg?v=1773933466,4,,,,,,,,,
omnus-drawers-set-of-3-chest,OMNUS Drawers (Set of 3) Chest,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
OMNUS Drawers (Set of 3) adds a Transitional touch while keeping the room feeling warm and welcoming. As a youth chest, it is designed to complement your space. Crafted from Solid Wood, Wood Veneer, it is finished in Cherry tones that pair easily with surrounding decor.<br>
Product Dimensions: 74 3/4""W X 18 1/2""D X 10 3/4""H</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Solid Wood, Wood Veneer.<br>
Color: Cherry<br>
Weight: 44 lbs</p>",ADNFurniture,,,,TRUE,Title,Default Title,,,,,,,,CM-DR452-CH,19958.018920763,shopify,20,deny,manual,390,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM-DR452-WH_e805829d-9966-473f-a059-e23190b3740a.jpg?v=1773933404,1,omnus-drawers-set-of-3-chest,FALSE,OMNUS Drawers (Set of 3) Chest,"Shop OMNUS Drawers (Set of 3) Chest. Transitional style. Solid Wood, Wood Veneer build. Color: Cherry. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM-DR452-CH_db56e4e6-e77a-41f7-bbde-f88cb9b88efd.jpg?v=1773933404,lb,,150,active
omnus-drawers-set-of-3-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM-DR452-CH_db56e4e6-e77a-41f7-bbde-f88cb9b88efd.jpg?v=1773933404,2,,,,,,,,,
ariston-bed-with-curved-headboards,ARISTON Bed with Curved headboards,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ARISTON, styled in Contemporary and designed for everyday comfort.<br>
This youth bed is made to fit naturally into the room. With Leatherette, Mirror, Solid Wood, Wood Veneer, Others and Rose Gold tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Full, Queen, Twin</p>

<p>Features<br>
- Leatherette<br>
- Mirror<br>
- Solid Wood<br>
- Wood Veneer<br>
- Others<br>
- Padded Headboard<br>
- Button Tufted<br>
- Crystal-like Acrylic Buttons<br>
- Mirror Trim<br>
- Optional Swivel Chest w/ 5mm Beveled Mirror<br>
- Felt-lined Top Drawers<br>
- Foundation Required<br>
</p><p>Materials: Leatherette, Mirror, Solid Wood, Wood Veneer, Others.<br>
Color: Rose Gold<br>
</p>",GOODDEGG,,Bed,"2026, ARISTON, Bed, BEDROOM FURNITURE, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, Youth",TRUE,Size,Full,,,,,,,,CM7171RG-F-BED,53923.015586363,shopify,20,deny,manual,807,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7171RG-1-c_d5dd010d-b5fe-4e57-a5f7-93170b2f966e.jpg?v=1773933275,1,ariston-bed,FALSE,ARISTON Bed,"Shop ARISTON Bed. Contemporary style. Leatherette, Mirror build. Multiple sizes available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7171RG-1-c_d5dd010d-b5fe-4e57-a5f7-93170b2f966e.jpg?v=1773933275,lb,,319,active
ariston-bed-with-curved-headboards,,,,,,,,,Queen,,,,,,,,CM7171RG-Q-BED,61143.979320578,shopify,20,deny,manual,867,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7171RG-1_84e644ee-9256-41d2-b731-2780ac150956.jpg?v=1773933275,2,ariston-bed,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7171RG-1-c_d5dd010d-b5fe-4e57-a5f7-93170b2f966e.jpg?v=1773933275,lb,,329,
ariston-bed-with-curved-headboards,,,,,,,,,Twin,,,,,,,,CM7171RG-T-BED,48562.007365333,shopify,20,deny,manual,747,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7170RG-4_0a69243d-7d72-4888-acf9-8c66a83e105f.jpg?v=1773933275,3,ariston-bed,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7171RG-1-c_d5dd010d-b5fe-4e57-a5f7-93170b2f966e.jpg?v=1773933275,lb,,299,
ariston-bed-with-rectangular-headboards,ARISTON Nightstand,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ARISTON Nightstand, styled in Contemporary and designed for everyday comfort. This youth night stand is made to fit naturally into the room. With Mirror, Solid Wood, Wood Veneer, and Rose Gold tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 28""W X 17""D X 28""H</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer Bonus storage &amp; convenience features (from matching set pieces): Felt-lined Top Drawers</p>

<p>Materials: Mirror, Solid Wood, Wood Veneer.<br>
Color: Rose Gold<br>
Weight: 56.3 lbs</p>",GOODDEGG,,Night Stand,"2026, ARISTON, BEDROOM FURNITURE, Furniture of America, Indoor Furniture, New Arrival, Night Stand, Quick Ship Furniture, Youth",TRUE,Title,Default Title,,,,,,,,CM7170RG-N,25536.978275578,shopify,20,deny,manual,390,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7170RG-Z_ce73ec81-993d-4281-9943-416924e18680.jpg?v=1773933438,1,ariston-nightstand,FALSE,ARISTON Nightstand,"Shop ARISTON Nightstand Night Stand. Contemporary style. Mirror, Solid Wood build. Color: Rose Gold. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7170RG-N-Z_f909ec47-d7b6-493d-84ef-bc1daa1abee6.jpg?v=1773933438,lb,,170,active
ariston-bed-with-rectangular-headboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7170RG-N-Z_f909ec47-d7b6-493d-84ef-bc1daa1abee6.jpg?v=1773933438,2,,,,,,,,,
allie-bed,ALLIE Bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ALLIE, styled in Contemporary and designed for everyday comfort.<br>
This youth bed is made to fit naturally into the room. With Fabric, Acrylic, Solid Wood, Others and Pearl White or Rose Gold tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Full, Twin</p>

<p>Features<br>
- Fabric<br>
- Acrylic<br>
- Solid Wood<br>
- Others<br>
- Padded Headboard w/Radial Pleats &amp; LED Light<br>
- Acrylic &amp; Mirror Accents<br>
- Mirror w/ LED Light<br>
- English Dovetail Drawers &amp; Ball-bearing Glides<br>
- Felt-lined Top Drawers<br>
- Optional Convertible Trundle<br>
- Foundation Required<br>
<strong>Variant Details</strong><br>
- <strong>Size: Full | Color: Pearl White | Dimensions: 84 1/8""L X 58""W X 54""H | Weight: 135.96 lbs | Volume: 11.3 cuft</strong><br>
- <strong>Size: Full | Color: Rose Gold | Dimensions: 80 1/2""L X 58""W X 54""H | Weight: 138.2 lbs | Volume: 11.2 cuft</strong><br>
- <strong>Size: Twin | Color: Rose Gold | Dimensions: 80 1/2""L X 41 3/4""W X 54""H | Weight: 111 lbs | Volume: 8.8 cuft</strong><br>
- <strong>Size: Twin | Color: Pearl White | Dimensions: 84 1/8""L X 42 1/2""W X 54""H | Weight: 109.62 lbs | Volume: 8.3 cuft</strong><br>
</p>

<p>Materials: Fabric, Acrylic, Solid Wood, Others.<br>
Color: Pearl White or Rose Gold<br>
Weight: 109.62 - 138.2 lbs</p>",GOODDEGG,,Bed,"2026, ALLIE, Bed, BEDROOM FURNITURE, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, Youth",TRUE,Color,Pearl White - Full,,,,,,,,CM7901F-BED,61670.010392067,shopify,20,deny,manual,1017,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7901-1-c.jpg?v=1773933274,1,allie-bed,FALSE,ALLIE Bed,"Shop ALLIE Bed. Contemporary style. Fabric, Acrylic build. Multiple sizes and colors available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7901-1-c.jpg?v=1773933274,lb,,379,active
allie-bed,,,,,,,,,Rose Gold - Full,,,,,,,,CM7901RG-F-BED,62686.01194,shopify,20,deny,manual,1017,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7901-1-Z_f7aa767d-0ae7-49ed-98e4-7ca352b6e088.jpg?v=1773933273,2,allie-bed,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7901RG-1-Z_235808e2-4854-406a-b91e-e9a5c1742850.jpg?v=1773933273,lb,,399,
allie-bed,,,,,,,,,Rose Gold - Twin,,,,,,,,CM7901RG-T-BED,50348.979866185,shopify,20,deny,manual,927,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7901-2.jpg?v=1773933273,3,allie-bed,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM7901RG-1-Z_235808e2-4854-406a-b91e-e9a5c1742850.jpg?v=1773933273,lb,,329,
