"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"varde-5-pc-round-dining-set","VARDE 5 Pc. Round Dining Set","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with VARDE, styled in Contemporary and designed for everyday comfort.<br>
This dining dining set is made to fit naturally into the room. With Boucle Chenille Fabric, Marble, Engineered Wood, Metal and Black/White tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 54""DIA X 30""H<br>
Size: Varies by variant</p>

<p>Features<br>
- Boucle Chenille Fabric<br>
- Marble<br>
- Engineered Wood<br>
- Metal<br>
- Marble Table Top<br>
- Reeded Plinth Base with Gold Trim<br>
- Removable Back Pillow on 6 Casters<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Black/White | Dimensions: 54""DIA X 30""H | Weight: 351 lbs | Volume: 76.3 cuft</strong><br>
- <strong>Size: - | Color: Black/White | Dimensions: 54""DIA X 30""H | Weight: 385.8 lbs | Volume: 73.9 cuft</strong><br>
</p>

<p>Materials: Boucle Chenille Fabric, Marble, Engineered Wood, Metal.<br>
Color: Black/White<br>
Weight: 351 - 385.8 lbs</p>","GOODDEGG","Furniture > Furniture Sets > Kitchen & Dining Furniture Sets","Dining Set","2026, Dining, DINING ROOM FURNITURE, Dining Set, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, VARDE","true","Chair Design","Cushioned Back Chair","","","","","","","","FM3431WH-RT-5PC-00WH","159211.012588474","shopify","20","deny","manual","2697.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM3431WH-RT-5PC-00WH-1.jpg?v=1773869894","1","varde-5-pc-round-dining-set","false","VARDE 5 Pc. Round Dining Set","Shop VARDE 5 Pc. Round Dining Set. Contemporary style. Boucle Chenille Fabric, Marble build. Color: Black/White. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM3431WH-RT-5PC-00WH-2.jpg?v=1773869894","lb","","1199.00","active"
"varde-5-pc-round-dining-set","","","","","","","","","Barrel Back Chair","","","","","","","","FM3431WH-RT-5PC-01WH","174995.981705237","shopify","20","deny","manual","2577.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM3431WH-RT-5PC-00WH-2.jpg?v=1773869894","2","varde-5-pc-round-dining-set","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM3431WH-RT-5PC-01WH-1.jpg?v=1773869894","lb","","1099.00","active"
"varde-5-pc-round-dining-set","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM3431WH-RT-5PC-01WH-1.jpg?v=1773869894","3","varde-5-pc-round-dining-set","","","","","","","","active"
"varde-5-pc-round-dining-set","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM3431WH-RT-5PC-01WH-2.jpg?v=1773869894","4","varde-5-pc-round-dining-set","","","","","","","","active"
"uzwil-7-pc-dining-table-set","UZWIL 7 Pc. Dining Table Set","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with UZWIL, styled in Mid-Century Modern and designed for everyday comfort.<br>
This dining dining set is made to fit naturally into the room. With Mid-Century Modern, Boucle Blend, Solid Wood, Engineered Wood, Wood Veneer, Others and Walnut tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Table: 70.9""L X 39.4""W X 29.5""H<br>
Size: Varies by variant</p>

<p>Features<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Walnut | Dimensions: Table: 70.9""L X 39.4""W X 29.5""H | Weight: 126.5 lbs | Volume: 14.8 cuft</strong><br>
- <strong>Size: - | Color: Walnut | Dimensions: Table: 70.9""L X 39.4""W X 29.5""H | Weight: 151.8 lbs | Volume: 17.6 cuft</strong><br>
</p>

<p>Materials: Mid-Century Modern, Boucle Blend, Solid Wood, Engineered Wood, Wood Veneer, Others.<br>
Color: Walnut<br>
Weight: 126.5 - 151.8 lbs</p>","GOODDEGG","Furniture > Furniture Sets > Kitchen & Dining Furniture Sets","Dining Set","2026, Dining, DINING ROOM FURNITURE, Dining Set, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, UZWIL","true","Title","Default Title","","","","","","","","FM3214WN-T-7PC","68855.004251341","shopify","20","deny","manual","1227.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM3214WN-T-7PC-1-Z.jpg?v=1773869893","1","uzwil-7-pc-dining-table-set-dining-set","false","UZWIL 7 Pc. Dining Table Set Dining Set","Shop UZWIL 7 Pc. Dining Table Set Dining Set. Mid-Century Modern style. Mid-Century Modern build. Color: Walnut. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM3214WN-T-7PC-1-Z.jpg?v=1773869893","lb","","579.00","active"
"uzwil-7-pc-dining-table-set","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM3214WN-T-2.jpg?v=1773869892","2","uzwil-7-pc-dining-table-set-dining-set","","","","","","","","active"
"tottenham-5-pc-dining-table-set","TOTTENHAM 5 Pc. Dining Table Set","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with TOTTENHAM, styled in Contemporary and designed for everyday comfort.<br>
This dining dining set is made to fit naturally into the room. With Fabric, Solid Rubberwood, Oak Veneer, Engineered Wood and Black tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Varies by variant</p>

<p>Features<br>
- Fabric<br>
- Solid Rubberwood<br>
- Oak Veneer<br>
- Engineered Wood<br>
- Cone-Shaped Pedestal Base<br>
- Inverted V-Leg Chair w/ Light Gray Upholstery<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Black | Dimensions: 48""DIA X 30""H | Weight: 218.26 lbs | Volume: 29.7 cuft</strong><br>
- <strong>Size: - | Color: Black | Dimensions: 59""DIA X 30""H | Weight: 252.33 lbs | Volume: 38.1 cuft</strong><br>
</p>

<p>Materials: Fabric, Solid Rubberwood, Oak Veneer, Engineered Wood.<br>
Color: Black<br>
Weight: 218.26 - 252.33 lbs</p>","GOODDEGG","Furniture > Furniture Sets > Kitchen & Dining Furniture Sets","Dining Set","2026, Dining, DINING ROOM FURNITURE, Dining Set, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, TOTTENHAM","true","Table Size","48"" Diameter","","","","","","","","FM3222BK-RT-48-5PC","99000.979957726","shopify","20","deny","manual","1737.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM3222BK-RT-48-5PC-1-Z.jpg?v=1773869891","1","tottenham-5-pc-dining-table-set-dining-set","false","TOTTENHAM 5 Pc. Dining Table Set Dining Set","Shop TOTTENHAM 5 Pc. Dining Table Set Dining Set. Contemporary style. Fabric, Solid Rubberwood build. Color: Black. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM3222BK-RT-48-5PC-1-Z.jpg?v=1773869891","lb","","699.00","active"
"tottenham-5-pc-dining-table-set","","","","","","","","","59"" Diameter","","","","","","","","FM3222BK-RT-59-5PC","114455.008081337","shopify","20","deny","manual","1857.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM3222BK-RT-48-5PC-2.jpg?v=1773869891","2","tottenham-5-pc-dining-table-set-dining-set","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM3222BK-RT-59-5PC-1-Z.jpg?v=1773869891","lb","","799.00","active"
"tottenham-5-pc-dining-table-set","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM3222BK-RT-59-5PC-1-Z.jpg?v=1773869891","3","tottenham-5-pc-dining-table-set-dining-set","","","","","","","","active"
"richfield-5-pc-round-counter-height-table-set","RICHFIELD 5 Pc. Round Counter Height Table Set","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with RICHFIELD, styled in Contemporary and designed for everyday comfort.<br>
This dining dining set is made to fit naturally into the room. With Leatherette, Glass, Metal, Others and Silver/Chrome tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 39 3/8""L X 39 3/8""W X 36""H<br>
Size: Varies by variant</p>

<p>Features<br>
- Leatherette<br>
- Glass<br>
- Metal<br>
- Others<br>
- 10mm Clear Tempered Glass Top<br>
- Tapered Legs<br>
- Bold Legs on Table<br>
<strong>Variant Details</strong><br>
- <strong>Size: - | Color: Silver/Chrome | Dimensions: 39 3/8""L X 39 3/8""W X 36""H | Weight: 160.6 lbs | Volume: 22.8 cuft</strong><br>
</p>

<p>Materials: Leatherette, Glass, Metal, Others.<br>
Color: Silver/Chrome<br>
Weight: 160.6 lbs</p>","GOODDEGG","Furniture > Furniture Sets > Kitchen & Dining Furniture Sets","Dining Set","2026, Dining, DINING ROOM FURNITURE, Dining Set, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, RICHFIELD","true","Color","White","","","","","","","","CM3362PT-5PC","72846.979981237","shopify","20","deny","manual","1797.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3362PT_8b32378e-3047-4173-8697-c65f05c349ac.jpg?v=1773869889","1","richfield-5-pc-round-counter-height-table-set-dining-set","false","RICHFIELD 5 Pc. Round Counter Height Table Set Dining Set","Shop RICHFIELD 5 Pc. Round Counter Height Table Set Dining Set. Color: Silver/Chrome. Free shipping from GOODDEGG. Buy now.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM3362PT_8b32378e-3047-4173-8697-c65f05c349ac.jpg?v=1773869889","lb","","689.00","active"
