Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vadso-sectional-upholstery-r,VADSO Sectional Upholstery [R],"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>Elevate your space with VADSO Sectional, styled in Contemporary and designed for everyday comfort. Built as a upholstery sectional, it pairs well with a wide range of interiors. With Leather Match, Metal, Others and Black tones, it blends structure and softness in one clean profile.</p><p><strong>Features:</strong><br>- See product specifications<br></p><p><strong>Color:</strong> Black / Dark Gray / Tangerine<br><strong>Dimension:</strong> 110.6"" L x 68"" W x 29"" H / 110.5"" W x 68""D x 29"" H<br><strong>Weight:</strong> 198 lbs / 202.2 lbs</p>",GOODDEGG,Furniture > Sofas > Sectional Sofas,Sectional,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Upholstery, Sectional, VADSO, Upholstery",true,Title,Black,,,,,,,,FM69005BK-SECT-R,89811.017104578,shopify,20,deny,manual,2217.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM69005BK-SECT-R-1-Z.jpg?v=1773775992,1,VADSO Sectional,false,VADSO Sectional in Black | GOODDEGG,The VADSO Sectional offers relaxed seating for everyday lounging. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM69005BK-SECT-R-1-Z.jpg?v=1773775992,lb,,899.00,active
vadso-sectional-upholstery-r,,,,,,,,,Dark Gray,,,,,,,,FM69005DG-SECT-R,91716.014340104,shopify,20,deny,manual,2217.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM69005DG-SECT-R-1-Z.jpg?v=1773775992,2,VADSO Sectional,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM69005DG-SECT-R-1-Z.jpg?v=1773775992,lb,,899.00,
vadso-sectional-upholstery-r,,,,,,,,,Tangerine,,,,,,,,FM69005LB-SECT-R,89811.017104578,shopify,20,deny,manual,2217.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM69005DG-SECT-R-2.jpg?v=1773775992,3,VADSO Sectional,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM69005LB-SECT-R-1-Z.jpg?v=1773775992,lb,,899.00,
vadso-sectional-upholstery-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM69005DG-3_079d5fd3-796c-4505-871a-01a5c5aeffa1.jpg?v=1773775992,4,VADSO Sectional,,,,,,,,
vadso-sectional-upholstery-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM69005DG-4_1f6e5702-4851-4b93-ad64-c1d382bb6e6a.jpg?v=1773775992,5,VADSO Sectional,,,,,,,,
vadso-sectional-upholstery-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM69005DG-2_c91a060b-1219-44e2-a446-e3259f174ecb.jpg?v=1773775992,6,VADSO Sectional,,,,,,,,
vadso-sectional-upholstery-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM69005DG-5_7ac97502-477f-42a0-a0e6-f84a0372598d.jpg?v=1773775992,7,VADSO Sectional,,,,,,,,
vadso-sectional-upholstery-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM69005LB-SECT-R-1-Z.jpg?v=1773775992,8,VADSO Sectional,,,,,,,,
vadso-sectional-upholstery-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM69005LB-3_45e16480-8e3d-4ceb-aeab-b52231514395.jpg?v=1773775992,9,VADSO Sectional,,,,,,,,
vadso-sectional-upholstery-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM69005LB-4_7a4af346-f22a-4910-9358-5320830f2a9c.jpg?v=1773775992,10,VADSO Sectional,,,,,,,,
