Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aalok-cal-king-bed,AALOK Cal.King Bed,"<p><span style=""color: rgb(43, 0, 255);""><strong>FREE SHIPPING</strong></span><br>Make the room feel complete with AALOK Bed and its Glam character. This bedroom bed is made to fit naturally into the room. Finished in Silver  or  Warm Gray tones, the Velvet-like Fabric, Solid Wood, Wood Veneer, Others build balances durability with visual appeal.<br><strong>Product Dimension:</strong> 91 3/4&quot;L X 81 5/8&quot;W X 70&quot;H<br><strong>Size:</strong> California King<br>Features<br>- Glam design<br>- Upholstered in velvet-like fabric<br>- Made with solid wood &amp; wood veneer<br>- Padded Headboard &amp; Footboard with pleated design<br>- Elegant cabriole legs<br>- Foundation required</p>
<p>Bonus storage &amp; convenience features (from matching set pieces):</p>
<p>USB Charger on Night Stand<br>Felt-lined Top Drawer<br>Hidden Drawer in Dresser</p>
<p><strong>Materials:</strong> Velvet-like Fabric, Solid Wood, Wood Veneer, Others<br><strong>Color:</strong> Silver/Warm Gray<br><strong>Weight:</strong> 217.8 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Bed, AALOK, BEDROOM FURNITURE",TRUE,,,,,,,,,,CM7864CK-BED,98792,shopify,20,deny,manual,1497,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-1-c.jpg?v=1772092127,1,aalok-cal-king-bed,FALSE,AALOK Cal.King Bed | GOODDEGG,The AALOK Bed creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-1-c.jpg?v=1772092127,lb,,559,draft
aalok-cal-king-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-1-Z.jpg?v=1772092184,2,aalok-cal-king-bed,,,,,,,,
aalok-cal-king-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-2.jpg?v=1772092196,3,aalok-cal-king-bed,,,,,,,,
aalok-cal-king-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-3.jpg?v=1772092211,4,aalok-cal-king-bed,,,,,,,,
aalok-cal-king-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-4.jpg?v=1772092225,5,aalok-cal-king-bed,,,,,,,,
aalok-cal-king-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-5.jpg?v=1773443649,6,aalok-cal-king-bed,,,,,,,,
aalok-cal-king-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-6.jpg?v=1773443723,7,aalok-cal-king-bed,,,,,,,,
aalok-chest,AALOK Chest,"<p><span style=""color: rgb(43, 0, 255);""><strong>FREE SHIPPING</strong></span><br>AALOK Chest brings a Glam look to your home with a refined, comfortable feel. Built as a bedroom chest, it pairs well with a wide range of interiors. The Solid Wood, Wood Veneer, Others construction is complemented by Silver tones for a polished look.<br><strong>Product Dimension:</strong> 38 3/8&quot;W X 17&quot;D X 54&quot;H<br>Features<br>- Glam design<br>- Made with solid wood &amp; wood veneer<br>- Elegant cabriole legs</p>
<p>Bonus storage &amp; convenience features (from matching set pieces):</p>
<p>Felt-lined Top Drawer</p>
<p><strong>Materials:</strong> Solid Wood, Wood Veneer, Others<br><strong>Color:</strong> Silver<br><strong>Weight:</strong> 211.2 lbs</p>",GOODDEGG,Furniture > Cabinets & Storage > Storage Chests,Chest,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Chest, AALOK, BEDROOM FURNITURE",TRUE,,,,,,,,,,CM7864C,95799,shopify,20,deny,manual,807,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864C-1.jpg?v=1772092265,1,aalok-chest,FALSE,AALOK Chest | GOODDEGG,The AALOK Chest adds storage to keep clothing and essentials organized. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864C-1.jpg?v=1772092265,lb,,329,draft
aalok-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-1-Z.jpg?v=1772092184,2,aalok-chest,,,,,,,,
aalok-dresser,AALOK Dresser,"<p><span style=""color: rgb(43, 0, 255);""><strong>FREE SHIPPING</strong></span><br>Elevate your space with AALOK Dresser, styled in Glam and designed for everyday comfort. As a bedroom dresser, it is designed to complement your space. With Solid Wood, Wood Veneer, Others and Silver tones, it blends structure and softness in one clean profile.<br><strong>Product Dimension:</strong> 62&quot;W X 17&quot;D X 40&quot;H<br>Features<br>- Glam design<br>- Made with solid wood &amp; wood veneer<br>- Elegant cabriole legs</p>
<p>Bonus storage &amp; convenience features (from matching set pieces):</p>
<p>Felt-lined Top Drawer<br>Hidden Drawer in Dresser</p>
<p><strong>Materials:</strong> Solid Wood, Wood Veneer, Others<br><strong>Color:</strong> Silver<br><strong>Weight:</strong> 224.4 lbs</p>",GOODDEGG,Furniture > Cabinets & Storage > Dressers,Dresser,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Dresser, AALOK, BEDROOM FURNITURE",TRUE,,,,,,,,,,CM7864D,101786,shopify,20,deny,manual,990,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864D-1.jpg?v=1772092308,1,aalok-dresser,FALSE,AALOK Dresser | GOODDEGG,The AALOK Dresser adds storage to keep clothing and essentials organized. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864D-1.jpg?v=1772092308,lb,,400,draft
aalok-dresser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-1-Z.jpg?v=1772092184,2,aalok-dresser,,,,,,,,
aalok-e-king-bed,AALOK E.King Bed,"<p><span style=""color: rgb(43, 0, 255);""><strong>FREE SHIPPING</strong></span><br>AALOK Bed adds a Glam touch while keeping the room feeling warm and welcoming. This bedroom bed is made to fit naturally into the room. Crafted from Velvet-like Fabric, Solid Wood, Wood Veneer, Others, it is finished in Silver  or  Warm Gray tones that pair easily with surrounding decor.<br><strong>Product Dimension:</strong> 87 3/4&quot;L X 81 5/8&quot;W X 70&quot;H<br><strong>Size:</strong> Eastern King<br>Features<br>- Glam design<br>- Upholstered in velvet-like fabric<br>- Made with solid wood &amp; wood veneer<br>- Padded Headboard &amp; Footboard with pleated design<br>- Elegant cabriole legs<br>- Foundation required</p>
<p>Bonus storage &amp; convenience features (from matching set pieces):</p>
<p>USB Charger on Night Stand<br>Felt-lined Top Drawer<br>Hidden Drawer in Dresser</p>
<p><strong>Materials:</strong> Velvet-like Fabric, Solid Wood, Wood Veneer, Others<br><strong>Color:</strong> Silver/Warm Gray<br><strong>Weight:</strong> 213.4 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Bed, AALOK, BEDROOM FURNITURE",TRUE,,,,,,,,,,CM7864EK-BED,96797,shopify,20,deny,manual,1440,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-1-c.jpg?v=1772092127,1,aalok-e-king-bed,FALSE,AALOK E.King Bed | GOODDEGG,The AALOK Bed creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-1-c.jpg?v=1772092127,lb,,539,draft
aalok-e-king-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-1-Z.jpg?v=1772092184,2,aalok-e-king-bed,,,,,,,,
aalok-e-king-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-2.jpg?v=1772092196,3,aalok-e-king-bed,,,,,,,,
aalok-e-king-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-3.jpg?v=1772092211,4,aalok-e-king-bed,,,,,,,,
aalok-e-king-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-4.jpg?v=1772092225,5,aalok-e-king-bed,,,,,,,,
aalok-e-king-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-5.jpg?v=1773443649,6,aalok-e-king-bed,,,,,,,,
aalok-e-king-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-6.jpg?v=1773443723,7,aalok-e-king-bed,,,,,,,,
aalok-nightstand-with-usb,AALOK Nightstand w/ USB,"<p><span style=""color: rgb(43, 0, 255);""><strong>FREE SHIPPING</strong></span><br>AALOK Nightstand w/ USB brings a Glam look to your home with a refined, comfortable feel. As a bedroom night stand, it is designed to complement your space. The Solid Wood, Wood Veneer, Others construction is complemented by Silver tones for a polished look.<br><strong>Product Dimension:</strong> 33 3/8&quot;W X 17&quot;D X 27 3/4&quot;H<br>Features<br>- Glam design<br>- Made with solid wood &amp; wood veneer<br>- Elegant cabriole legs</p>
<p>Bonus storage &amp; convenience features (from matching set pieces):</p>
<p>Felt-lined Top Drawer<br>USB Charger on Night Stand</p>
<p><strong>Materials:</strong> Solid Wood, Wood Veneer, Others<br><strong>Color:</strong> Silver<br><strong>Weight:</strong> 74.8 lbs</p>",GOODDEGG,Furniture > Tables > Nightstands,Night Stand,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Night Stand, AALOK, BEDROOM FURNITURE",TRUE,,,,,,,,,,CM7864N,33929,shopify,20,deny,manual,450,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864N-1.jpg?v=1772092336,1,aalok-nightstand-with-usb,FALSE,AALOK Nightstand w/ USB | GOODDEGG,The AALOK Nightstand w/ USB brings everyday comfort and function to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864N-1.jpg?v=1772092336,lb,,170,draft
aalok-nightstand-with-usb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7864-1-Z.jpg?v=1772092184,2,aalok-nightstand-with-usb,,,,,,,,
